Name ,Voltage,Conductivity,Temperature,AvgMemPotential,H2Flow,CurrentDensity,TransferCurrent,Faraday_H2_mol,Faraday_H2_kg,Efficiency,Voltage_loss,Resistivity_Index,J_norm,Resistivity_Index_norm,VL_norm,Degradation_index
DP 94,1.5034,10.951,367.32,0.7516996,4.77E-09,3668.6695,0.91258073,4.73E-06,9.53E-09,0.7981242517,0.3035,0.09131586157,0.07232520017,0.1473671277,0.006808169804,0.07474516425
DP 95,1.8442,9.309,313.54,0.92210011,5.58E-09,4342.7106,1.0678489,5.53E-06,1.12E-08,0.6506344214,0.6443,0.1074229241,0.09019189945,0.2048184659,0.6892270725,0.3247983545
DP 96,1.6414,9.361,368.14,0.82069924,1.41E-08,9614.2697,2.6913693,1.39E-05,2.81E-08,0.731022298,0.4415,0.1068261938,0.2299242706,0.2026900237,0.2831397677,0.2361988405
DP 97,1.6292,6.002,346.8,0.81459971,6.98E-09,5153.7608,1.3372377,6.93E-06,1.40E-08,0.73649644,0.4293,0.1666111296,0.111690277,0.4159334111,0.2587104525,0.2594902664
DP 98,1.9317,10.775,362.87,0.96584999,4.37E-08,28573.648,8.3598495,4.33E-05,8.73E-08,0.6211627064,0.7318,0.09280742459,0.7324774689,0.1526872966,0.8644373248,0.5773686898
DP 99,1.9201,7.59,357.87,0.96004925,3.08E-08,20462.32,5.905419,3.06E-05,6.17E-08,0.624915369,0.7202,0.1317523057,0.5174717992,0.2915975128,0.8412094513,0.5445919919
DP 100,1.8524,7.168,374.36,0.92619886,2.72E-08,18124.967,5.2083789,2.70E-05,5.44E-08,0.6477542647,0.6525,0.1395089286,0.4555159583,0.3192641569,0.7056467761,0.4885408741
DP 101,1.8669,5.1,361.3,0.93344921,1.96E-08,13332.811,3.7592662,1.95E-05,3.93E-08,0.642723231,0.667,0.1960784314,0.3284910482,0.5210386046,0.7346816179,0.5227897193
DP 102,1.5193,8.98,346.14,0.75964905,2.59E-09,2307.7294,0.49529686,2.57E-06,5.17E-09,0.7897716053,0.3194,0.1113585746,0.03625097932,0.2188563075,0.03864637565,0.09693870861
DP 103,1.6493,12.933,320.63,0.82464997,7.50E-09,5446.0546,1.4366012,7.44E-06,1.50E-08,0.7275207664,0.4494,0.07732158045,0.1194380618,0.09745174575,0.2989587505,0.1702300242
DP 104,1.7774,8.52,356.19,0.88869924,2.16E-08,14453.494,4.1276737,2.14E-05,4.31E-08,0.675087206,0.5775,0.117370892,0.3581968126,0.2403012905,0.5554665599,0.3808083388
DP 105,1.7208,12.425,335.65,0.86039964,1.73E-08,11666.149,3.3138157,1.72E-05,3.46E-08,0.6972919572,0.5209,0.08048289738,0.284313106,0.108727662,0.4421305567,0.2756065371
DP 106,1.7169,7.95,321.11,0.85844995,1.00E-08,7098.9919,1.9187373,9.94E-06,2.00E-08,0.6988758809,0.517,0.1257861635,0.1632522056,0.2703172297,0.4343211854,0.2864039048
DP 107,1.9678,8.162,368.98,0.98390003,3.89E-08,25646.108,7.4546339,3.86E-05,7.79E-08,0.6097672528,0.7679,0.1225189904,0.6548776359,0.2586637413,0.9367240689,0.6105875972
DP 108,1.6147,4.102,315.03,0.80734991,2.39E-09,2244.3126,0.45824957,2.37E-06,4.79E-09,0.7431101753,0.4148,0.2437835202,0.03457000038,0.6911950931,0.2296756107,0.3152954324
